UNIPROT:Q9UN73:T116:PRGE	Protocadherin alpha-6|PCDHA6	UNIPROT:Q9UN73|GENE:56142
UNIPROT:Q9Y2P4:T116:PRGE	Long-chain fatty acid transport protein 6|SLC27A6	UNIPROT:Q9Y2P4|GENE:28965
UNIPROT:Q2TAL5:T116:PRGE	Smoothelin-like protein 2|SMTNL2	UNIPROT:Q2TAL5|GENE:342527
UNIPROT:P16188:T116:PRGE	HLA class I histocompatibility antigen, A-30 alpha chain	UNIPROT:P16188
UNIPROT:Q6MZT1:T116:PRGE	Regulator of G-protein signaling 7-binding protein|RGS7BP	UNIPROT:Q6MZT1|GENE:401190
UNIPROT:Q9HAU0:T116:PRGE	PH domain-containing family A member 5|PLEKHA5	UNIPROT:Q9HAU0|GENE:54477
UNIPROT:O95219:T116:PRGE	Sorting nexin-4|SNX4	UNIPROT:O95219|GENE:8723
UNIPROT:Q6ZUT9:T116:PRGE	DENN domain-containing protein 5B|DENND5B	UNIPROT:Q6ZUT9|GENE:160518
UNIPROT:Q14439:T116:PRGE	Probable G-protein coupled receptor 176|GPR176	UNIPROT:Q14439|GENE:11245
UNIPROT:Q9BVW6:T116:PRGE	Putative transmembrane protein MGC5590	UNIPROT:Q9BVW6
UNIPROT:Q13465:T116:PRGE	MDS1 and EVI1 complex locus protein MDS1|MECOM	UNIPROT:Q13465|GENE:2122
UNIPROT:P20155:T116:PRGE	Serine protease inhibitor Kazal-type 2|SPINK2	UNIPROT:P20155|GENE:6691
UNIPROT:O95139:T116:PRGE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6|NDUFB6	UNIPROT:O95139|GENE:4712
UNIPROT:P42766:T116:PRGE	60S ribosomal protein L35|RPL35	UNIPROT:P42766|GENE:11224
UNIPROT:Q8WUB8:T116:PRGE	PHD finger protein 10|PHF10	UNIPROT:Q8WUB8|GENE:55274
UNIPROT:Q9BY89:T116:PRGE	Uncharacterized protein KIAA1671|KIAA1671	UNIPROT:Q9BY89|GENE:85379
UNIPROT:Q8TBA6:T116:PRGE	Golgin subfamily A member 5|GOLGA5	UNIPROT:Q8TBA6|GENE:9950
UNIPROT:P31371:T116:PRGE	GAF|FGF9	UNIPROT:P31371|GENE:2254
UNIPROT:Q9UHI6:T116:PRGE	Probable ATP-dependent RNA helicase DDX20|DDX20	UNIPROT:Q9UHI6|GENE:11218
UNIPROT:Q9Y6Y1:T116:PRGE	Calmodulin-binding transcription activator 1|CAMTA1	UNIPROT:Q9Y6Y1|GENE:23261
UNIPROT:Q5VWM5:T116:PRGE	PRAME family member 9/15	UNIPROT:Q5VWM5
UNIPROT:Q8WUY9:T116:PRGE	DEP domain-containing protein 1B|DEPDC1B	UNIPROT:Q8WUY9|GENE:55789
UNIPROT:P63126:T116:PRGE	HERV-K_6q14.1 provirus ancestral Gag polyprotein	UNIPROT:P63126
UNIPROT:O60381:T116:PRGE	HMG box-containing protein 1|HBP1	UNIPROT:O60381|GENE:26959
UNIPROT:O00148:T116:PRGE	ATP-dependent RNA helicase DDX39|DDX39A	UNIPROT:O00148|GENE:10212
UNIPROT:Q9UNZ5:T116:PRGE	Leydig cell tumor 10 kDa protein homolog|C19orf53	UNIPROT:Q9UNZ5|GENE:28974
UNIPROT:P11234:T116:PRGE	Ras-related protein Ral-B|RALB	UNIPROT:P11234|GENE:5899
UNIPROT:P56747:T116:PRGE	Claudin-6|CLDN6	UNIPROT:P56747|GENE:9074
UNIPROT:A8MQ11:T116:PRGE	Postmeiotic segregation increased 2-like protein 5	UNIPROT:A8MQ11
UNIPROT:Q2MKA7:T116:PRGE	R-spondin-1|RSPO1	UNIPROT:Q2MKA7|GENE:284654
UNIPROT:Q8N4M1:T116:PRGE	Choline transporter-like protein 3|SLC44A3	UNIPROT:Q8N4M1|GENE:126969
UNIPROT:Q8WWZ8:T116:PRGE	Oncoprotein-induced transcript 3 protein|OIT3	UNIPROT:Q8WWZ8|GENE:170392
UNIPROT:Q3C1V9:T116:PRGE	Putative uncharacterized protein ENSP00000334305	UNIPROT:Q3C1V9
UNIPROT:P24311:T116:PRGE	Cytochrome c oxidase subunit 7B, mitochondrial|COX7B	UNIPROT:P24311|GENE:1349
UNIPROT:Q6A555:T116:PRGE	Thioredoxin domain-containing protein 8|TXNDC8	UNIPROT:Q6A555|GENE:255220
UNIPROT:P16389:T116:PRGE	Potassium voltage-gated channel subfamily A member 2|KCNA2	UNIPROT:P16389|GENE:3737
UNIPROT:Q06136:T116:PRGE	3-ketodihydrosphingosine reductase|KDSR	UNIPROT:Q06136|GENE:2531
UNIPROT:P46777:T116:PRGE	60S ribosomal protein L5|RPL5	UNIPROT:P46777|GENE:6125
UNIPROT:Q6P179:T116:PRGE	Endoplasmic reticulum aminopeptidase 2|ERAP2	UNIPROT:Q6P179|GENE:64167
UNIPROT:O94900:T116:PRGE	Thymocyte selection-associated high mobility group box protein TOX|TOX	UNIPROT:O94900|GENE:9760
UNIPROT:Q96T88:T116:PRGE	E3 ubiquitin-protein ligase UHRF1|UHRF1	UNIPROT:Q96T88|GENE:29128
UNIPROT:Q12770:T116:PRGE	SREBP cleavage-activating protein|SCAP	UNIPROT:Q12770|GENE:22937
UNIPROT:Q9Y5B9:T116:PRGE	FACT complex subunit SPT16|SUPT16H	UNIPROT:Q9Y5B9|GENE:11198
UNIPROT:Q7Z469:T116:PRGE	Putative mitochondrial carrier protein LOC494141	UNIPROT:Q7Z469
UNIPROT:Q02930:T116:PRGE	Cyclic AMP-responsive element-binding protein 5|CREB5	UNIPROT:Q02930|GENE:9586
UNIPROT:O15492:T116:PRGE	Regulator of G-protein signaling 16|RGS16	UNIPROT:O15492|GENE:6004
UNIPROT:O15355:T116:PRGE	Protein phosphatase 1G|PPM1G	UNIPROT:O15355|GENE:5496
UNIPROT:Q8N2R8:T116:PRGE	Protein FAM43A|FAM43A	UNIPROT:Q8N2R8|GENE:131583
UNIPROT:O00151:T116:PRGE	PDZ and LIM domain protein 1|PDLIM1	UNIPROT:O00151|GENE:9124
UNIPROT:Q15493:T116:PRGE	Regucalcin|RGN	UNIPROT:Q15493|GENE:9104
UNIPROT:Q9BYV8:T116:PRGE	Centrosomal protein of 41 kDa|CEP41	UNIPROT:Q9BYV8|GENE:95681
UNIPROT:Q64ET8:T116:PRGE	Protein FRG2	UNIPROT:Q64ET8
UNIPROT:Q96K12:T116:PRGE	Fatty acyl-CoA reductase 2|FAR2	UNIPROT:Q96K12|GENE:55711
UNIPROT:Q05996:T116:PRGE	Zona pellucida sperm-binding protein 2|ZP2	UNIPROT:Q05996|GENE:7783
UNIPROT:Q9BRP4:T116:PRGE	Proteasomal ATPase-associated factor 1|PAAF1	UNIPROT:Q9BRP4|GENE:80227
UNIPROT:P61550:T116:PRGE	HERV-T_19q13.11 provirus ancestral Env polyprotein	UNIPROT:P61550
UNIPROT:Q8WWX8:T116:PRGE	Sodium/myo-inositol cotransporter 2|SLC5A11	UNIPROT:Q8WWX8|GENE:115584
UNIPROT:A8MVU1:T116:PRGE	NCF-1C	UNIPROT:A8MVU1
UNIPROT:O75807:T116:PRGE	Protein phosphatase 1 regulatory subunit 15A|PPP1R15A	UNIPROT:O75807|GENE:23645
UNIPROT:P01617:T116:PRGE	Ig kappa chain V-II region TEW	UNIPROT:P01617
UNIPROT:Q9H8X2:T116:PRGE	Inositol-pentakisphosphate 2-kinase|IPPK	UNIPROT:Q9H8X2|GENE:64768
UNIPROT:Q86SI9:T116:PRGE	Protein CEI|C5orf38	UNIPROT:Q86SI9|GENE:153571
UNIPROT:Q6UXT8:T116:PRGE	Protein FAM150A|FAM150A	UNIPROT:Q6UXT8|GENE:389658
UNIPROT:Q8N3J9:T116:PRGE	Zinc finger protein 664|ZNF664	UNIPROT:Q8N3J9|GENE:144348
UNIPROT:Q8TBZ5:T116:PRGE	Zinc finger protein 502|ZNF502	UNIPROT:Q8TBZ5|GENE:91392
UNIPROT:Q86UB2:T116:PRGE	Basic immunoglobulin-like variable motif-containing protein|BIVM	UNIPROT:Q86UB2|GENE:54841
UNIPROT:Q6UWE0:T116:PRGE	E3 ubiquitin-protein ligase LRSAM1|LRSAM1	UNIPROT:Q6UWE0|GENE:90678
UNIPROT:P13682:T116:PRGE	Zinc finger protein 35|ZNF35	UNIPROT:P13682|GENE:7584
UNIPROT:Q9BS86:T116:PRGE	Zona pellucida-binding protein 1|ZPBP	UNIPROT:Q9BS86|GENE:11055
UNIPROT:Q92623:T116:PRGE	TPR repeat protein 9A|TTC9	UNIPROT:Q92623|GENE:23508
UNIPROT:Q9H6T3:T116:PRGE	RNA polymerase II-associated protein 3|RPAP3	UNIPROT:Q9H6T3|GENE:79657
UNIPROT:Q92529:T116:PRGE	SHC-transforming protein 3|SHC3	UNIPROT:Q92529|GENE:53358
UNIPROT:Q0VFX0:T116:PRGE	Putative uncharacterized protein FLJ13224	UNIPROT:Q0VFX0
UNIPROT:Q96CT7:T116:PRGE	Coiled-coil domain-containing protein 124|CCDC124	UNIPROT:Q96CT7|GENE:115098
UNIPROT:Q8N6D2:T116:PRGE	RING finger protein 182|RNF182	UNIPROT:Q8N6D2|GENE:221687
UNIPROT:Q9UNN5:T116:PRGE	FAS-associated factor 1|FAF1	UNIPROT:Q9UNN5|GENE:11124
UNIPROT:Q9UBF1:T116:PRGE	Melanoma-associated antigen C2|MAGEC2	UNIPROT:Q9UBF1|GENE:51438
UNIPROT:Q96R08:T116:PRGE	Olfactory receptor 5B12|OR5B12	UNIPROT:Q96R08|GENE:390191
UNIPROT:O60565:T116:PRGE	Gremlin-1|GREM1	UNIPROT:O60565|GENE:26585
UNIPROT:P00915:T116:PRGE	Carbonic anhydrase 1|CA1	UNIPROT:P00915|GENE:759
UNIPROT:Q66K66:T116:PRGE	Transmembrane protein 198|TMEM198	UNIPROT:Q66K66|GENE:130612
UNIPROT:P0C628:T116:PRGE	Olfactory receptor 5AC1	UNIPROT:P0C628
UNIPROT:Q6ZT98:T116:PRGE	Tubulin polyglutamylase TTLL7|TTLL7	UNIPROT:Q6ZT98|GENE:79739
UNIPROT:O75592:T116:PRGE	Probable E3 ubiquitin-protein ligase MYCBP2|MYCBP2	UNIPROT:O75592|GENE:23077
UNIPROT:Q6P0Q8:T116:PRGE	Microtubule-associated serine/threonine-protein kinase 2|MAST2	UNIPROT:Q6P0Q8|GENE:23139
UNIPROT:Q9BY79:T116:PRGE	Membrane frizzled-related protein	UNIPROT:Q9BY79
UNIPROT:P40394:T116:PRGE	Alcohol dehydrogenase class 4 mu/sigma chain|ADH7	UNIPROT:P40394|GENE:131
UNIPROT:O15522:T116:PRGE	Homeobox protein Nkx-2.8|NKX2-8	UNIPROT:O15522|GENE:26257
UNIPROT:Q9Y614:T116:PRGE	Actin-like protein 7B|ACTL7B	UNIPROT:Q9Y614|GENE:10880
UNIPROT:Q14686:T116:PRGE	Nuclear receptor coactivator 6|NCOA6	UNIPROT:Q14686|GENE:23054
UNIPROT:Q9UNW1:T116:PRGE	Multiple inositol polyphosphate phosphatase 1|MINPP1	UNIPROT:Q9UNW1|GENE:9562
UNIPROT:Q9NPB9:T116:PRGE	CC-CKR-11|CCRL1	UNIPROT:Q9NPB9|GENE:51554
UNIPROT:Q13065:T116:PRGE	GAGE-1|GAGE1	UNIPROT:Q13065|GENE:2543
UNIPROT:Q9Y5A6:T116:PRGE	Zinc finger and SCAN domain-containing protein 21|ZSCAN21	UNIPROT:Q9Y5A6|GENE:7589
UNIPROT:Q96EK6:T116:PRGE	Glucosamine 6-phosphate N-acetyltransferase|GNPNAT1	UNIPROT:Q96EK6|GENE:64841
UNIPROT:P09228:T116:PRGE	Cystatin-SA|CST2	UNIPROT:P09228|GENE:1470
UNIPROT:Q5T3F8:T116:PRGE	Transmembrane protein 63B|TMEM63B	UNIPROT:Q5T3F8|GENE:55362
UNIPROT:P48728:T116:PRGE	Aminomethyltransferase, mitochondrial|AMT	UNIPROT:P48728|GENE:275
UNIPROT:P35030:T116:PRGE	Trypsin-3|PRSS3	UNIPROT:P35030|GENE:5646
UNIPROT:P21452:T116:PRGE	SKR|TACR2	UNIPROT:P21452|GENE:6865
UNIPROT:Q14739:T116:PRGE	Lamin-B receptor|LBR	UNIPROT:Q14739|GENE:3930
UNIPROT:Q6ZMD2:T116:PRGE	Protein spinster homolog 3|SPNS3	UNIPROT:Q6ZMD2|GENE:201305
UNIPROT:A6NCS4:T116:PRGE	Homeobox protein Nkx-2.6|NKX2-6	UNIPROT:A6NCS4|GENE:137814
UNIPROT:O75764:T116:PRGE	Transcription elongation factor A protein 3|TCEA3	UNIPROT:O75764|GENE:6920
UNIPROT:Q9BYT1:T116:PRGE	Solute carrier family 17 member 9|SLC17A9	UNIPROT:Q9BYT1|GENE:63910
UNIPROT:O95801:T116:PRGE	Tetratricopeptide repeat protein 4|TTC4	UNIPROT:O95801|GENE:7268
UNIPROT:Q96LP6:T116:PRGE	Uncharacterized protein C12orf42|C12orf42	UNIPROT:Q96LP6|GENE:374470
UNIPROT:Q8NFD4:T116:PRGE	Uncharacterized protein FLJ76381	UNIPROT:Q8NFD4
UNIPROT:Q5VUY0:T116:PRGE	Arylacetamide deacetylase-like 3|AADACL3	UNIPROT:Q5VUY0|GENE:126767
UNIPROT:P32926:T116:PRGE	Desmoglein-3|DSG3	UNIPROT:P32926|GENE:1830
UNIPROT:Q0VFZ6:T116:PRGE	Uncharacterized protein C2orf77|C2orf77	UNIPROT:Q0VFZ6|GENE:129881
UNIPROT:Q70EL3:T116:PRGE	Inactive ubiquitin carboxyl-terminal hydrolase 50	UNIPROT:Q70EL3
UNIPROT:Q53HC5:T116:PRGE	Kelch-like protein 26|KLHL26	UNIPROT:Q53HC5|GENE:55295
UNIPROT:Q9BQA1:T116:PRGE	Methylosome protein 50|WDR77	UNIPROT:Q9BQA1|GENE:79084
UNIPROT:Q9BXY4:T116:PRGE	R-spondin-3|RSPO3	UNIPROT:Q9BXY4|GENE:84870
UNIPROT:Q9NVE4:T116:PRGE	Coiled-coil domain-containing protein 87|CCDC87	UNIPROT:Q9NVE4|GENE:55231
UNIPROT:Q8NCR9:T116:PRGE	Clarin-3|CLRN3	UNIPROT:Q8NCR9|GENE:119467
UNIPROT:Q6NYC1:T116:PRGE	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6|JMJD6	UNIPROT:Q6NYC1|GENE:23210
UNIPROT:P19256:T116:PRGE	Lymphocyte function-associated antigen 3|CD58	UNIPROT:P19256|GENE:965
UNIPROT:P02708:T116:PRGE	Acetylcholine receptor subunit alpha|CHRNA1	UNIPROT:P02708|GENE:1134
UNIPROT:Q9H489:T116:PRGE	Testis-specific Y-encoded-like protein 3	UNIPROT:Q9H489
UNIPROT:Q9Y679:T116:PRGE	Ancient ubiquitous protein 1|AUP1	UNIPROT:Q9Y679|GENE:550
UNIPROT:P54274:T116:PRGE	Telomeric repeat-binding factor 1|TERF1	UNIPROT:P54274|GENE:7013
UNIPROT:Q8N6F8:T116:PRGE	Williams-Beuren syndrome chromosomal region 27 protein|WBSCR27	UNIPROT:Q8N6F8|GENE:155368
UNIPROT:Q6P1A2:T116:PRGE	Lysophospholipid acyltransferase 5|LPCAT3	UNIPROT:Q6P1A2|GENE:10162
UNIPROT:Q9NUN7:T116:PRGE	AlkCDase 3|ACER3	UNIPROT:Q9NUN7|GENE:55331
UNIPROT:Q86SF2:T116:PRGE	N-acetylgalactosaminyltransferase 7|GALNT7	UNIPROT:Q86SF2|GENE:51809
UNIPROT:Q9UQM7:T116:PRGE	CaM kinase II subunit alpha|CAMK2A	UNIPROT:Q9UQM7|GENE:815
UNIPROT:Q9HCC8:T116:PRGE	Glycerophosphoinositol inositolphosphodiesterase GDPD2|GDPD2	UNIPROT:Q9HCC8|GENE:54857
UNIPROT:Q9NUP9:T116:PRGE	Lin-7C|LIN7C	UNIPROT:Q9NUP9|GENE:55327
UNIPROT:Q9BYV7:T116:PRGE	Beta,beta-carotene 9',10'-oxygenase|BCO2	UNIPROT:Q9BYV7|GENE:83875
UNIPROT:Q5T653:T116:PRGE	MRP-L2|MRPL2	UNIPROT:Q5T653|GENE:51069
UNIPROT:Q9UHX3:T116:PRGE	EGF-like module-containing mucin-like hormone receptor-like 2|EMR2	UNIPROT:Q9UHX3|GENE:30817
UNIPROT:Q96A99:T116:PRGE	Neuronal pentraxin-like protein C16orf38|PTX4	UNIPROT:Q96A99|GENE:390667
UNIPROT:Q6PXP3:T116:PRGE	Solute carrier family 2, facilitated glucose transporter member 7|SLC2A7	UNIPROT:Q6PXP3|GENE:155184
UNIPROT:Q8WZ79:T116:PRGE	Deoxyribonuclease-2-beta|DNASE2B	UNIPROT:Q8WZ79|GENE:58511
UNIPROT:P54829:T116:PRGE	Tyrosine-protein phosphatase non-receptor type 5|PTPN5	UNIPROT:P54829|GENE:84867
UNIPROT:C9J442:T116:PRGE	Putative uncharacterized protein C22orf46|C22orf46	UNIPROT:C9J442|GENE:79640
UNIPROT:P06126:T116:PRGE	T-cell surface glycoprotein CD1a|CD1A	UNIPROT:P06126|GENE:909
UNIPROT:P29803:T116:PRGE	Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial|PDHA2	UNIPROT:P29803|GENE:5161
UNIPROT:P49335:T116:PRGE	POU domain, class 3, transcription factor 4|POU3F4	UNIPROT:P49335|GENE:5456
UNIPROT:O14609:T116:PRGE	Testis-specific XK-related protein, Y-linked|XKRY	UNIPROT:O14609|GENE:9082
UNIPROT:P04217:T116:PRGE	Alpha-1B-glycoprotein|A1BG	UNIPROT:P04217|GENE:1
UNIPROT:P30989:T116:PRGE	NT-R-1|NTSR1	UNIPROT:P30989|GENE:4923
UNIPROT:P62834:T116:PRGE	Ras-related protein Rap-1A|RAP1A	UNIPROT:P62834|GENE:5906
UNIPROT:Q6Q6R5:T116:PRGE	Cysteine-rich protein 3|CRIP3	UNIPROT:Q6Q6R5|GENE:401262
UNIPROT:Q01469:T116:PRGE	Fatty acid-binding protein, epidermal|FABP5	UNIPROT:Q01469|GENE:2171
UNIPROT:P0C7N8:T116:PRGE	Olfactory receptor 9G9|OR9G9	UNIPROT:P0C7N8|GENE:504191
UNIPROT:P05413:T116:PRGE	Fatty acid-binding protein, heart|FABP3	UNIPROT:P05413|GENE:2170
UNIPROT:Q9BW66:T116:PRGE	CDK2-interacting protein|CINP	UNIPROT:Q9BW66|GENE:51550
UNIPROT:O60313:T116:PRGE	Dynamin-like 120 kDa protein, mitochondrial|OPA1	UNIPROT:O60313|GENE:4976
UNIPROT:Q68DH5:T116:PRGE	LMBR1 domain-containing protein 2|LMBRD2	UNIPROT:Q68DH5|GENE:92255
UNIPROT:Q5VX71:T116:PRGE	Sushi domain-containing protein 4|SUSD4	UNIPROT:Q5VX71|GENE:55061
UNIPROT:P33032:T116:PRGE	MC5-R|MC5R	UNIPROT:P33032|GENE:4161
UNIPROT:Q6ZN18:T116:PRGE	Zinc finger protein AEBP2|AEBP2	UNIPROT:Q6ZN18|GENE:121536
UNIPROT:Q9H7T9:T116:PRGE	Uncharacterized protein C1orf135|C1orf135	UNIPROT:Q9H7T9|GENE:79000
UNIPROT:Q5VV41:T116:PRGE	Rho guanine nucleotide exchange factor 16|ARHGEF16	UNIPROT:Q5VV41|GENE:27237
UNIPROT:P41595:T116:PRGE	5-hydroxytryptamine receptor 2B|HTR2B	UNIPROT:P41595|GENE:3357
UNIPROT:Q0VAA5:T116:PRGE	PI-PLC X domain-containing protein 2|PLCXD2	UNIPROT:Q0VAA5|GENE:257068
UNIPROT:P16234:T116:PRGE	PDGF-R-alpha|PDGFRA	UNIPROT:P16234|GENE:5156
UNIPROT:Q9H7J1:T116:PRGE	Protein phosphatase 1 regulatory subunit 3E	UNIPROT:Q9H7J1
UNIPROT:P61019:T116:PRGE	Ras-related protein Rab-2A|RAB2A	UNIPROT:P61019|GENE:5862
UNIPROT:P14061:T116:PRGE	Estradiol 17-beta-dehydrogenase 1|HSD17B1	UNIPROT:P14061|GENE:3292
UNIPROT:P08519:T116:PRGE	Apolipoprotein(a)|LPA	UNIPROT:P08519|GENE:4018
UNIPROT:Q4VC39:T116:PRGE	Putative HIG1 domain family member 2B	UNIPROT:Q4VC39
UNIPROT:Q6QHC5:T116:PRGE	Sphingolipid delta(4)-desaturase/C4-hydroxylase DES2|DEGS2	UNIPROT:Q6QHC5|GENE:123099
UNIPROT:O75879:T116:PRGE	Probable glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial|PET112	UNIPROT:O75879|GENE:5188
UNIPROT:Q9H9J2:T116:PRGE	39S ribosomal protein L44, mitochondrial|MRPL44	UNIPROT:Q9H9J2|GENE:65080
UNIPROT:Q495X7:T116:PRGE	Tripartite motif-containing protein 60|TRIM60	UNIPROT:Q495X7|GENE:166655
UNIPROT:P17031:T116:PRGE	Zinc finger protein 26	UNIPROT:P17031
UNIPROT:P48742:T116:PRGE	LIM homeobox protein 1|LHX1	UNIPROT:P48742|GENE:3975
UNIPROT:O43745:T116:PRGE	Calcineurin B homologous protein 2|CHP2	UNIPROT:O43745|GENE:63928
UNIPROT:P47898:T116:PRGE	5-HT-5|HTR5A	UNIPROT:P47898|GENE:3361
UNIPROT:Q9NUN5:T116:PRGE	Probable lysosomal cobalamin transporter|LMBRD1	UNIPROT:Q9NUN5|GENE:55788
UNIPROT:Q9H903:T116:PRGE	Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2|MTHFD2L	UNIPROT:Q9H903|GENE:441024
UNIPROT:Q96BY2:T116:PRGE	MAP1|MOAP1	UNIPROT:Q96BY2|GENE:64112
UNIPROT:O95803:T116:PRGE	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3|NDST3	UNIPROT:O95803|GENE:9348
UNIPROT:P78412:T116:PRGE	Iroquois-class homeodomain protein IRX-6|IRX6	UNIPROT:P78412|GENE:79190
UNIPROT:Q13637:T116:PRGE	Ras-related protein Rab-32|RAB32	UNIPROT:Q13637|GENE:10981
UNIPROT:P11216:T116:PRGE	Glycogen phosphorylase, brain form|PYGB	UNIPROT:P11216|GENE:5834
UNIPROT:Q9Y6Q5:T116:PRGE	AP-1 complex subunit mu-2|AP1M2	UNIPROT:Q9Y6Q5|GENE:10053
UNIPROT:Q68CQ7:T116:PRGE	Glycosyltransferase 8 domain-containing protein 1|GLT8D1	UNIPROT:Q68CQ7|GENE:55830
UNIPROT:P23258:T116:PRGE	Tubulin gamma-1 chain|TUBG1	UNIPROT:P23258|GENE:7283
UNIPROT:Q9BUN5:T116:PRGE	Coiled-coil domain-containing protein 28B|CCDC28B	UNIPROT:Q9BUN5|GENE:79140
UNIPROT:A6NNB3:T116:PRGE	Interferon-induced transmembrane protein 5|IFITM5	UNIPROT:A6NNB3|GENE:387733
UNIPROT:Q6IPX1:T116:PRGE	TBC1 domain family member 3C/3D	UNIPROT:Q6IPX1
UNIPROT:Q9H222:T116:PRGE	ATP-binding cassette sub-family G member 5|ABCG5	UNIPROT:Q9H222|GENE:64240
UNIPROT:P61165:T116:PRGE	UPF0197 transmembrane protein C11orf10|C11orf10	UNIPROT:P61165|GENE:746
UNIPROT:Q5T700:T116:PRGE	Low-density lipoprotein receptor class A domain-containing protein 1|LDLRAD1	UNIPROT:Q5T700|GENE:388633
UNIPROT:Q86XJ0:T116:PRGE	Calcium homeostasis modulator protein 3|CALHM3	UNIPROT:Q86XJ0|GENE:119395
UNIPROT:Q9Y5Z4:T116:PRGE	Heme-binding protein 2|HEBP2	UNIPROT:Q9Y5Z4|GENE:23593
UNIPROT:P20339:T116:PRGE	Ras-related protein Rab-5A|RAB5A	UNIPROT:P20339|GENE:5868
UNIPROT:A8MXZ3:T116:PRGE	Keratin-associated protein 9-1|KRTAP9-1	UNIPROT:A8MXZ3|GENE:728318
UNIPROT:Q9UJ96:T116:PRGE	Potassium voltage-gated channel subfamily G member 2|KCNG2	UNIPROT:Q9UJ96|GENE:26251
UNIPROT:Q16649:T116:PRGE	Nuclear factor interleukin-3-regulated protein|NFIL3	UNIPROT:Q16649|GENE:4783
UNIPROT:Q9NZC4:T116:PRGE	hEHF|EHF	UNIPROT:Q9NZC4|GENE:26298
UNIPROT:Q6ZSH3:T116:PRGE	Putative uncharacterized protein C16orf85	UNIPROT:Q6ZSH3
UNIPROT:Q13200:T116:PRGE	26S proteasome non-ATPase regulatory subunit 2|PSMD2	UNIPROT:Q13200|GENE:5708
UNIPROT:Q8NC06:T116:PRGE	Acyl-CoA-binding domain-containing protein 4|ACBD4	UNIPROT:Q8NC06|GENE:79777
UNIPROT:Q9NSC7:T116:PRGE	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1|ST6GALNAC1	UNIPROT:Q9NSC7|GENE:55808
UNIPROT:Q9UI47:T116:PRGE	Catenin alpha-3|CTNNA3	UNIPROT:Q9UI47|GENE:29119
UNIPROT:P13984:T116:PRGE	General transcription factor IIF subunit 2|GTF2F2	UNIPROT:P13984|GENE:2963
UNIPROT:Q0VG99:T116:PRGE	Mesoderm posterior protein 2|MESP2	UNIPROT:Q0VG99|GENE:145873
UNIPROT:O15516:T116:PRGE	hCLOCK|CLOCK	UNIPROT:O15516|GENE:9575
UNIPROT:Q14435:T116:PRGE	Polypeptide N-acetylgalactosaminyltransferase 3|GALNT3	UNIPROT:Q14435|GENE:2591
UNIPROT:P12081:T116:PRGE	Histidyl-tRNA synthetase, cytoplasmic|HARS	UNIPROT:P12081|GENE:3035
UNIPROT:Q99819:T116:PRGE	Rho GDP-dissociation inhibitor 3|ARHGDIG	UNIPROT:Q99819|GENE:398
UNIPROT:A8MWK0:T116:PRGE	Fatty acid desaturase 2-like protein	UNIPROT:A8MWK0
UNIPROT:Q9UJX5:T116:PRGE	Anaphase-promoting complex subunit 4|ANAPC4	UNIPROT:Q9UJX5|GENE:29945
UNIPROT:P11717:T116:PRGE	Cation-independent mannose-6-phosphate receptor|IGF2R	UNIPROT:P11717|GENE:3482
UNIPROT:P28223:T116:PRGE	5-hydroxytryptamine receptor 2A|HTR2A	UNIPROT:P28223|GENE:3356
UNIPROT:Q5QGZ9:T116:PRGE	C-type lectin domain family 12 member A|CLEC12A	UNIPROT:Q5QGZ9|GENE:160364
UNIPROT:P15498:T116:PRGE	Proto-oncogene vav|VAV1	UNIPROT:P15498|GENE:7409
UNIPROT:Q99075:T116:PRGE	Proheparin-binding EGF-like growth factor|HBEGF	UNIPROT:Q99075|GENE:1839
UNIPROT:O14638:T116:PRGE	E-NPP 3|ENPP3	UNIPROT:O14638|GENE:5169
UNIPROT:O43543:T116:PRGE	DNA repair protein XRCC2|XRCC2	UNIPROT:O43543|GENE:7516
UNIPROT:A6NLW8:T116:PRGE	Double homeobox protein A|DUXA	UNIPROT:A6NLW8|GENE:503835
UNIPROT:Q8IXX5:T116:PRGE	Transmembrane protein 183A|TMEM183A	UNIPROT:Q8IXX5|GENE:92703
UNIPROT:O43196:T116:PRGE	hMSH5|MSH5	UNIPROT:O43196|GENE:4439
UNIPROT:Q13072:T116:PRGE	B melanoma antigen 1|BAGE	UNIPROT:Q13072|GENE:574
UNIPROT:P25105:T116:PRGE	PAFr|PTAFR	UNIPROT:P25105|GENE:5724
UNIPROT:Q75NE6:T116:PRGE	Putative microRNA 17 host gene protein	UNIPROT:Q75NE6
UNIPROT:P49366:T116:PRGE	DHS|DHPS	UNIPROT:P49366|GENE:1725
UNIPROT:Q9Y3R5:T116:PRGE	Protein dopey-2|DOPEY2	UNIPROT:Q9Y3R5|GENE:9980
UNIPROT:A6NC51:T116:PRGE	Transmembrane protein 150B|TMEM150B	UNIPROT:A6NC51|GENE:284417
UNIPROT:O14815:T116:PRGE	Calpain-9|CAPN9	UNIPROT:O14815|GENE:10753
